0,1
지금 바로 가입하면 할인 쿠폰을 드립니다,spam
회의 일정이 변경되었습니다,ham
당신에게 특별한 혜택이 기다리고 있습니다,spam
이번 주말에 가족 모임이 있습니다,ham
무료로 이용할 수 있는 기회입니다,spam
계정 보안 관련 업데이트 안내,ham
신규 고객을 위한 특별 이벤트!,spam
오늘 저녁 회의 자료 확인 부탁드립니다,ham
지금 구매하면 50% 할인 혜택!,spam
내일 오전 회의 일정입니다,ham
즉시 사용 가능한 적립금을 드립니다,spam
프로젝트 마감일이 다가오고 있습니다,ham
단 3일간의 특별 프로모션!,spam
가족들과의 여행이 계획되었습니다,ham
초대장을 보내드립니다,spam
업무 일정 조정이 필요합니다,ham
회원 가입 축하 드립니다! 특별 혜택이 있습니다,spam
고객님의 계정이 성공적으로 생성되었습니다,ham
10만원 상당의 쿠폰을 지금 바로 받으세요,spam
내일 회의 자료가 준비되었습니다,ham
지금 바로 사용할 수 있는 쿠폰을 받아가세요,spam
프로젝트 진행 상황을 알려드립니다,ham
무료 샘플을 받아보세요,spam
주말 모임에 관한 안내입니다,ham
한정 수량! 지금 바로 클릭하세요,spam
계정 관련 문의사항이 있으시면 연락 주세요,ham
여행 패키지 특별 할인 중입니다,spam
월간 보고서가 준비되었습니다,ham
지금 신청하면 추가 혜택을 드립니다,spam
이번 주 작업 일정을 공유드립니다,ham
지금 바로 30% 할인 혜택을 누리세요,spam
이번 주 회의 안건을 확인해주세요,ham
한정판 상품을 놓치지 마세요,spam
새로운 고객 서비스 정책 안내입니다,ham
무료 체험 기간이 곧 종료됩니다,spam
이번 달 예산 보고서입니다,ham
단 하루! 특별 할인 이벤트 중입니다,spam
다음 주 스케줄을 확인해주세요,ham
포인트가 소멸되기 전에 사용하세요,spam
회의록이 업데이트되었습니다,ham
100% 당첨 기회를 지금 잡으세요,spam
프로젝트 미팅 시간을 조정해야 합니다,ham
기간 한정! 특별 세일이 진행 중입니다,spam
팀 회의 일정이 변경되었습니다,ham
초대장이 도착했습니다. 지금 확인하세요,spam
회의 준비 자료를 미리 확인해주세요,ham
단 3일간의 무료 배송 혜택을 놓치지 마세요,spam
프로젝트 보고서 초안을 공유드립니다,ham
단 하루만! 특별 할인가로 만나보세요,spam
이번 주 팀 회의 일정 공유드립니다,ham
추가 포인트 혜택을 지금 누리세요,spam
다음 주 팀 미팅 일정을 확인해주세요,ham
무료 배송 쿠폰을 지금 바로 받아가세요,spam
내일 회의 준비사항을 확인해주세요,ham
30% 할인 쿠폰을 지금 사용하세요,spam
다음 주 프로젝트 일정입니다,ham
오늘 단 하루! 특별 세일이 진행됩니다,spam
회의 시간 변경 안내입니다,ham
단 3일간의 추가 할인 혜택을 누리세요,spam
주말 일정 공유드립니다,ham
무료 체험권을 지금 받아가세요,spam
회의 자료가 준비되었습니다,ham
한정 수량! 특별 할인 혜택을 지금 누리세요,spam
계정 정보가 업데이트되었습니다,ham
지금 가입하고 할인 쿠폰을 받아가세요,spam
다음 주 회의 자료가 준비되었습니다,ham
기간 한정 할인 혜택을 지금 누리세요,spam
업무 관련 공지사항입니다,ham
지금 신청하면 무료로 받을 수 있습니다,spam
내일 일정 확인 부탁드립니다,ham
오늘 단 하루! 최대 50% 할인 중입니다,spam
고객님께 드리는 특별 혜택 안내입니다,ham
100% 당첨 보장! 지금 바로 신청하세요,spam
계정 보안 강화를 위한 안내입니다,ham
기간 한정! 지금 바로 확인하세요,spam
이번 주 회의 일정 안내입니다,ham
단 하루만의 기회를 놓치지 마세요,spam
업무 일정이 업데이트되었습니다,ham
지금 바로 사용 가능한 할인 쿠폰을 드립니다,spam
다음 주 회의 일정을 확인해주세요,ham
지금 가입하면 추가 혜택을 드립니다,spam
다음 달 업무 일정 공유드립니다,ham
단 하루! 특별 프로모션 진행 중입니다,spam
내일 회의 일정 안내입니다,ham
한정 수량 상품을 놓치지 마세요,spam
주간 업무 일정 공유드립니다,ham
