브랜드,상호,주소,시도,군구,위도,경도,전화번호,서비스,서비스 제공개수
할리스,FKI타워2호점,"서울특별시 영등포구 여의대로 24 (여의도동, 에프케이아이타워) 1층",서울특별시,영등포구,37.5221803249647,126.919916550827,02-782-3647,[],0
할리스,신대방삼거리역점,서울특별시 동작구 상도로 60 (대방동) 1층~2층,서울특별시,동작구,37.4995614234716,126.927153186125,02-823-2377,[],0
할리스,당산1가점,"서울특별시 영등포구 양산로 146, DE' HAR (당산동1가 256,258)",서울특별시,영등포구,37.5235012531296,126.899170493803,02-2679-7942,[],0
할리스,명동역점,"서울특별시 중구 퇴계로 131 (충무로2가, 신일빌딩)",서울특별시,중구,37.5612833166249,126.986361886176,02-752-5925,[],0
할리스,오류동점,"서울특별시 구로구 경인로 224 (오류동, 칸타빌레5차)",서울특별시,구로구,37.4964851629173,126.845741839583,02-2625-4854,[],0
할리스,목동파리공원점,"서울특별시 양천구 목동서로 57 (목동, 현대파리지앙)",서울특별시,양천구,37.5366321308561,126.879863427781,02-2645-8497,[],0
할리스,신촌역점,"서울특별시 마포구 신촌로 88 (노고산동, 태영빌딩) 2층",서울특별시,마포구,37.5553097221974,126.935331733458,02-325-7588,[],0
할리스,이태원역점,서울특별시 용산구 이태원로 180 2층~3층,서울특별시,용산구,37.5342217426698,126.994224816687,02-749-8752,[],0
할리스,홍제천점,"서울특별시 서대문구 홍제내길 52,1~2층 (홍제동 361-49)",서울특별시,서대문구,37.584802093985,126.936166344795,02-396-0903,[],0
할리스,종각역점,서울특별시 종로구 종로 60-1 종로2가 102-3,서울특별시,종로구,37.5699362991594,126.984167036879,02-736-3399,[],0
할리스,청계천점,"서울특별시 종로구  청계천로 81 1,2,3,4층",서울특별시,종로구,37.5685338389728,126.986587063819,02-735-5462,[],0
할리스,청담삼성로점,서울특별시 강남구 삼성로119길 8 (강남대청담카이로스빌딩) 1층,서울특별시,강남구,37.516242883757,127.050632935983,02-541-7755,[],0
할리스,보라매역점,서울특별시 영등포구 여의대방로 145 (세인트빌딩) 신길동 505 1층,서울특별시,영등포구,37.5002104691442,126.919990345257,02-845-1097,[],0
할리스,강남대로논현점,"서울특별시 강남구 강남대로 520 (논현동 164번지, 영동빌딩)",서울특별시,강남구,37.5086773753858,127.023051010941,02-6012-2372,[],0
할리스,신촌연세로점,"서울특별시 서대문구 연세로 5, 1층 (창천동 30-7) 할리스",서울특별시,서대문구,37.556128952497,126.936574472337,02-322-3684,[],0
할리스,구로역점,서울특별시 구로구 새말로 18-29 (구로동),서울특별시,구로구,37.5018232438079,126.883187024004,02-862-3216,[],0
할리스,공덕역북카페점,"서울특별시 마포구 마포대로 100 (공덕동, 공덕역) 북카페 지하1층, 공덕동 423-29",서울특별시,마포구,37.5445267873155,126.951363830233,없음,[],0
할리스,종로5가점,서울특별시 종로구 동호로 401,서울특별시,종로구,37.5701966555827,127.001666240298,02-2266-1989,[],0
할리스,센터포인트점,"서울특별시 종로구 새문안로5길 31, 센터포인트광화문빌딩 1층 (도렴동 65, 센터포인트 광화문) 할리스",서울특별시,종로구,37.5729765145796,126.974351284671,02-6031-6213,[],0
할리스,백석예술대학교점,서울특별시 서초구 방배로9길 23 (백석예술대 신관 1층) 방배동 981-17,서울특별시,서초구,37.4803713866046,126.996896954333,02-585-9150,[],0
할리스,고속터미널영동선점,서울특별시 서초구 신반포로 194 (강남고속버스터미널) 2층 A-2호,서울특별시,서초구,37.5064357442307,127.006834366246,02-591-1555,[],0
할리스,남부터미널점,"서울특별시 서초구 서초중앙로 52 (서초동, 영진빌딩)",서울특별시,서초구,37.4867307777424,127.015750032123,02-584-9500,[],0
할리스,방배점,"서울특별시 서초구 남부순환로 2335 (방배동, 옥스포드빌딩)",서울특별시,서초구,37.4778338201861,127.006606891853,02-581-4858,[],0
할리스,역삼스타점,"서울특별시 강남구 테헤란로26길 12, 1층 (역삼동 736-56) 할리스",서울특별시,강남구,37.4994465349977,127.035856382455,02-501-4142,[],0
할리스,광나루역점,"서울특별시 광진구 천호대로 808, 광장현대홈타운 제1202동 상가 1층 (광장동 580) 할리스",서울특별시,광진구,37.545073523534,127.102739572749,02-444-0542,[],0
할리스,당산역점,서울특별시 영등포구 당산로 219,서울특별시,영등포구,37.5334793403404,126.901240424052,02-2631-3446,[],0
할리스,노원문화의거리점,서울특별시 노원구 노해로81길 22-26 할리스,서울특별시,노원구,37.6558967804046,127.063981843761,02-935-8231,[],0
할리스,도곡점,"서울특별시 강남구 논현로28길 54, 덕원빌딩 1층 (도곡동 422-2) 할리스",서울특별시,강남구,37.4845278499807,127.046195947569,02-6204-3311,[],0
할리스,신림점,서울특별시 관악구 신림로 353-1,서울특별시,관악구,37.4859535218631,126.92924154589,02-877-0019,[],0
할리스,태평로점,"서울특별시 중구 세종대로 64, 해남빌딩 1층 (태평로2가 70-5) 할리스.",서울특별시,중구,37.561973319432,126.976696252264,02-755-7795,[],0
할리스,신촌점,서울특별시 서대문구 연세로 34 (창천동 31-12)  할리스,서울특별시,서대문구,37.5586151120539,126.937150931665,02-393-2004,[],0
